dataset,method,setting,roc_auc,pr_auc,precision,recall,f1,runtime_seconds,n_points,n_anomalies,anomaly_ratio
normality_1.csv,SAND,streaming,0.6066911148817463,0.0573975651167082,0.0418367346938775,0.0418367346938775,0.0418367346938775,70.1927285194397,23688,980,0.0413711583924349
normality_2.csv,SAND,streaming,0.5586660403356288,0.04724470819964345,0.06156552330694811,0.06156552330694811,0.06156552330694811,131.66404390335083,56960,2274,0.039922752808988764
normality_3.csv,SAND,streaming,0.5729235748935788,0.04576366166080661,0.0215633423180593,0.0215633423180593,0.0215633423180593,178.52865624427795,66559,2597,0.03901801409275981
