dataset,method,setting,roc_auc,pr_auc,precision,recall,f1,runtime_seconds,n_points,n_anomalies,anomaly_ratio
normality_1.csv,Isolation Forest,offline,0.8394635262947877,0.5238652531501118,0.6020408163265306,0.6020408163265306,0.6020408163265306,0.382612943649292,23688,980,0.041371158392434985
normality_1.csv,Dense Autoencoder,offline,0.841049140283205,0.2089614717728019,0.25,0.25,0.25,5.010206699371338,23688,980,0.041371158392434985
normality_2.csv,Isolation Forest,offline,0.45232401961839164,0.04432808411901564,0.020668425681618294,0.020668425681618294,0.020668425681618294,0.6968226432800293,56960,2274,0.039922752808988764
normality_2.csv,Dense Autoencoder,offline,0.47230869441854834,0.06955652097438221,0.16051011433597184,0.16051011433597184,0.16051011433597184,9.721083879470825,56960,2274,0.039922752808988764
normality_3.csv,Isolation Forest,offline,0.47851329396255293,0.043188986795288195,0.027339237581825184,0.027339237581825184,0.027339237581825184,0.6700186729431152,66559,2597,0.03901801409275981
normality_3.csv,Dense Autoencoder,offline,0.501621633931978,0.0722594431193115,0.15209857527916826,0.15209857527916826,0.15209857527916826,11.384496927261353,66559,2597,0.03901801409275981
